region,period,model,SSP,Report,scenario,unit,Emission reduction,Mitigation cost
Asia,2040,IMAGE,Yes,SR15,CD-LINKS_NPi2020_1000,None,102.2981753,0.015023595
Asia,2040,IMAGE,Yes,SR15,CD-LINKS_NPi2020_1600,None,102.1459144,0.00663626
Asia,2040,IMAGE,Yes,SR15,EMF33_WB2C_full,None,99.11520468,0.005226454
Asia,2040,IMAGE,Yes,SR15,SSP1-19,None,99.95507742,NA
Asia,2040,IMAGE,Yes,SR15,SSP1-26,None,115.6256748,NA
Asia,2040,IMAGE,Yes,SR15,SSP1-34,None,115.5715368,NA
Asia,2040,IMAGE,Yes,SR15,SSP2-26,None,105.7205825,NA
Asia,2040,IMAGE,Yes,SR15,SSP2-34,None,108.5951916,NA
Asia,2040,IMAGE,Yes,SR15,SSP5-34,None,104.9524852,NA
Asia,2040,MESSAGE,Yes,AR5,AMPERE2-450-FullTech-OPT,None,99.75750479,0.003347003
Asia,2040,MESSAGE,Yes,AR5,EMF27-450-FullTech,None,99.05629206,0.004005174
Asia,2040,MESSAGE,Yes,AR5,EMF27-550-FullTech,None,99.68267493,0.005541372
Asia,2040,MESSAGE,Yes,AR5,LIMITS-450,None,104.6654464,0.006213094
Asia,2040,MESSAGE,Yes,AR5,LIMITS-500,None,98.3691641,0.002202367
Asia,2040,MESSAGE,Yes,SR15,ADVANCE_2020_1.5C-2100,None,106.4521953,0.006025496
Asia,2040,MESSAGE,Yes,SR15,ADVANCE_2020_WB2C,None,111.9554198,0.000987198
Asia,2040,MESSAGE,Yes,SR15,CD-LINKS_NPi2020_1000,None,111.7911227,0.000473562
Asia,2040,MESSAGE,Yes,SR15,CD-LINKS_NPi2020_1600,None,118.6785231,-4.98E-05
Asia,2040,MESSAGE,Yes,SR15,EMF33_WB2C_full,None,110.6426554,NA
Asia,2040,MESSAGE,Yes,SR15,GEA_Eff_2C_Delay2020,None,89.74951292,NA
Asia,2040,MESSAGE,Yes,SR15,GEA_Mix_2C_AdvTrans_PartialDelay2020,None,96.61169111,NA
Asia,2040,MESSAGE,Yes,SR15,SSP1-19,None,105.2898104,NA
Asia,2040,MESSAGE,Yes,SR15,SSP1-26,None,105.1616727,NA
Asia,2040,MESSAGE,Yes,SR15,SSP1-34,None,109.1750285,NA
Asia,2040,MESSAGE,Yes,SR15,SSP2-19,None,108.4010996,NA
Asia,2040,MESSAGE,Yes,SR15,SSP2-26,None,114.0996461,NA
Asia,2040,MESSAGE,Yes,SR15,SSP2-34,None,115.7147627,NA
Asia,2040,POLES,No,AR5,AMPERE2-450-FullTech-OPT,None,101.4054282,0.019457058
Asia,2040,POLES,No,AR5,EMF27-450-FullTech,None,101.8277454,0.020019138
Asia,2040,POLES,No,AR5,EMF27-550-FullTech,None,103.938322,0.010675261
Asia,2040,POLES,No,SR15,ADVANCE_2020_1.5C-2100,None,107.6612511,0.068532236
Asia,2040,POLES,No,SR15,ADVANCE_2020_WB2C,None,114.7686917,0.014685479
Asia,2040,REMIND,Yes,AR5,ROSE 450 DEF,None,96.65676695,0.009795174
Asia,2040,REMIND,Yes,AR5,ROSE 550 DEF,None,103.710517,0.005490637
Asia,2040,REMIND,Yes,SR15,ADVANCE_2020_1.5C-2100,None,104.5814481,0.013096482
Asia,2040,REMIND,Yes,SR15,ADVANCE_2020_WB2C,None,109.7532435,0.00715126
Asia,2040,REMIND,Yes,SR15,AMPERE2-450-FullTech-OPT,None,113.0807931,0.008491087
Asia,2040,REMIND,Yes,SR15,CD-LINKS_NPi2020_1000,None,110.1723789,0.002890476
Asia,2040,REMIND,Yes,SR15,CD-LINKS_NPi2020_1600,None,113.089031,0.000403364
Asia,2040,REMIND,Yes,SR15,EMF27-450-FullTech,None,109.2316353,0.010058677
Asia,2040,REMIND,Yes,SR15,EMF27-550-FullTech,None,111.4641747,0.008982161
Asia,2040,REMIND,Yes,SR15,EMF33_WB2C_full,None,113.9578135,0.02105772
Asia,2040,REMIND,Yes,SR15,LIMITS-450,None,110.1616024,0.010854102
Asia,2040,REMIND,Yes,SR15,LIMITS-500,None,113.2934296,0.009285446
Asia,2040,REMIND,Yes,SR15,SSP1-19,None,107.3645483,0.009992646
Asia,2040,REMIND,Yes,SR15,SSP1-26,None,116.8523456,0.003109049
Asia,2040,REMIND,Yes,SR15,SSP1-34,None,107.7162422,0.000902618
Asia,2040,REMIND,Yes,SR15,SSP2-19,None,96.92080836,0.01949353
Asia,2040,REMIND,Yes,SR15,SSP2-26,None,112.4358029,0.008914462
Asia,2040,REMIND,Yes,SR15,SSP2-34,None,112.5702696,0.004510212
Asia,2040,REMIND,Yes,SR15,SSP5-19,None,102.0941833,0.016308554
Asia,2040,REMIND,Yes,SR15,SSP5-26,None,109.5116756,0.006936739
Asia,2040,REMIND,Yes,SR15,SSP5-34,None,116.382521,0.004453915
Asia,2040,TIAM,No,AR5,EMF27-450-FullTech,None,99.78413132,0.002373133
Asia,2040,TIAM,No,AR5,EMF27-550-FullTech,None,108.9112378,0.006923552
Asia,2040,TIAM,No,AR5,LIMITS-450,None,100.8924935,0.017780714
Asia,2040,TIAM,No,AR5,LIMITS-500,None,105.1708745,0.009317658
Asia,2040,WITCH,No,AR5,AMPERE2-450-FullTech-OPT,None,95.91520499,0.017755531
Asia,2040,WITCH,No,AR5,EMF27-450-FullTech,None,96.61286536,0.00391626
Asia,2040,WITCH,No,AR5,EMF27-550-FullTech,None,97.20925546,0.002911652
Asia,2040,WITCH,No,AR5,LIMITS-450,None,95.28907285,-0.006023057
Asia,2040,WITCH,No,AR5,LIMITS-500,None,97.05365968,-0.006021252
Asia,2040,WITCH,No,AR5,ROSE 450 DEF,None,97.88279699,-0.012306773
Asia,2040,WITCH,No,AR5,ROSE 550 DEF,None,101.1730524,-0.004896455
Asia,2040,WITCH,No,SR15,ADVANCE_2020_1.5C-2100,None,101.1910102,0.020229513
Asia,2040,WITCH,No,SR15,ADVANCE_2020_WB2C,None,107.907291,0.011241351
Asia,2040,WITCH,No,SR15,CD-LINKS_NPi2020_1000,None,107.8571889,0.008323937
Asia,2040,WITCH,No,SR15,CD-LINKS_NPi2020_1600,None,114.2760061,0.005602142
